x   y   z   z_sp   dzdx   dzdx_sp   dzdy   dzdy_sp
-5.000000e+00   -5.922923e+00   2.665384e-19   2.665384e-19   2.665384e-18   2.665548e-18   7.996151e-19   7.996151e-19
-5.000000e+00   -5.921922e+00   2.673400e-19   2.673400e-19   2.673400e-18   2.673565e-18   8.020199e-19   8.020199e-19
-5.000000e+00   -5.920921e+00   2.681440e-19   2.681440e-19   2.681440e-18   2.681606e-18   8.044320e-19   8.044320e-19
-5.000000e+00   -5.919920e+00   2.689505e-19   2.689505e-19   2.689505e-18   2.689671e-18   8.068514e-19   8.068514e-19
-5.000000e+00   -5.918919e+00   2.697593e-19   2.697593e-19   2.697593e-18   2.697760e-18   8.092780e-19   8.092780e-19
-5.000000e+00   -5.917918e+00   2.705706e-19   2.705706e-19   2.705706e-18   2.705873e-18   8.117119e-19   8.117119e-19
-5.000000e+00   -5.916917e+00   2.713844e-19   2.713844e-19   2.713844e-18   2.714011e-18   8.141531e-19   8.141531e-19
-5.000000e+00   -5.915916e+00   2.722006e-19   2.722006e-19   2.722006e-18   2.722174e-18   8.166017e-19   8.166017e-19
-5.000000e+00   -5.914915e+00   2.730192e-19   2.730192e-19   2.730192e-18   2.730361e-18   8.190577e-19   8.190577e-19
-5.000000e+00   -5.913914e+00   2.738403e-19   2.738403e-19   2.738403e-18   2.738572e-18   8.215210e-19   8.215210e-19
-5.000000e+00   -5.912913e+00   2.746639e-19   2.746639e-19   2.746639e-18   2.746809e-18   8.239917e-19   8.239917e-19
-5.000000e+00   -5.911912e+00   2.754900e-19   2.754900e-19   2.754900e-18   2.755070e-18   8.264699e-19   8.264699e-19
-5.000000e+00   -5.910911e+00   2.763185e-19   2.763185e-19   2.763185e-18   2.763356e-18   8.289555e-19   8.289555e-19
-5.000000e+00   -5.909910e+00   2.771495e-19   2.771495e-19   2.771495e-18   2.771666e-18   8.314486e-19   8.314486e-19
-5.000000e+00   -5.908909e+00   2.779831e-19   2.779831e-19   2.779831e-18   2.780002e-18   8.339492e-19   8.339492e-19
-5.000000e+00   -5.907908e+00   2.788191e-19   2.788191e-19   2.788191e-18   2.788363e-18   8.364573e-19   8.364573e-19
-5.000000e+00   -5.906907e+00   2.796577e-19   2.796577e-19   2.796577e-18   2.796749e-18   8.389730e-19   8.389730e-19
-5.000000e+00   -5.905906e+00   2.804987e-19   2.804987e-19   2.804987e-18   2.805160e-18   8.414962e-19   8.414962e-19
-5.000000e+00   -5.904905e+00   2.813423e-19   2.813423e-19   2.813423e-18   2.813597e-18   8.440270e-19   8.440270e-19
