x   y   y_sp   dydx   dydx_sp
1.537538e+00   8.092065e+00   8.092065e+00   9.225225e+00   9.225225e+00
1.545546e+00   8.166133e+00   8.166133e+00   9.273273e+00   9.273273e+00
1.553554e+00   8.240586e+00   8.240586e+00   9.321321e+00   9.321321e+00
1.561562e+00   8.315424e+00   8.315424e+00   9.369369e+00   9.369369e+00
1.569570e+00   8.390646e+00   8.390646e+00   9.417417e+00   9.417417e+00
1.577578e+00   8.466253e+00   8.466253e+00   9.465465e+00   9.465465e+00
1.585586e+00   8.542245e+00   8.542245e+00   9.513514e+00   9.513514e+00
1.593594e+00   8.618622e+00   8.618622e+00   9.561562e+00   9.561562e+00
1.601602e+00   8.695383e+00   8.695383e+00   9.609610e+00   9.609610e+00
1.609610e+00   8.772529e+00   8.772529e+00   9.657658e+00   9.657658e+00
1.617618e+00   8.850060e+00   8.850060e+00   9.705706e+00   9.705706e+00
1.625626e+00   8.927976e+00   8.927976e+00   9.753754e+00   9.753754e+00
1.633634e+00   9.006277e+00   9.006277e+00   9.801802e+00   9.801802e+00
1.641642e+00   9.084962e+00   9.084962e+00   9.849850e+00   9.849850e+00
1.649650e+00   9.164032e+00   9.164032e+00   9.897898e+00   9.897898e+00
1.657658e+00   9.243487e+00   9.243487e+00   9.945946e+00   9.945946e+00
1.665666e+00   9.323326e+00   9.323326e+00   9.993994e+00   9.993994e+00
1.673674e+00   9.403551e+00   9.403551e+00   1.004204e+01   1.004204e+01
1.681682e+00   9.484160e+00   9.484160e+00   1.009009e+01   1.009009e+01
1.689690e+00   9.565154e+00   9.565154e+00   1.013814e+01   1.013814e+01
1.697698e+00   9.646532e+00   9.646532e+00   1.018619e+01   1.018619e+01
1.705706e+00   9.728296e+00   9.728296e+00   1.023423e+01   1.023423e+01
1.713714e+00   9.810444e+00   9.810444e+00   1.028228e+01   1.028228e+01
1.721722e+00   9.892977e+00   9.892977e+00   1.033033e+01   1.033033e+01
1.729730e+00   9.975895e+00   9.975895e+00   1.037838e+01   1.037838e+01
1.737738e+00   1.005920e+01   1.005920e+01   1.042643e+01   1.042643e+01
1.745746e+00   1.014288e+01   1.014288e+01   1.047447e+01   1.047447e+01
1.753754e+00   1.022696e+01   1.022696e+01   1.052252e+01   1.052252e+01
1.761762e+00   1.031141e+01   1.031141e+01   1.057057e+01   1.057057e+01
1.769770e+00   1.039626e+01   1.039626e+01   1.061862e+01   1.061862e+01
1.777778e+00   1.048148e+01   1.048148e+01   1.066667e+01   1.066667e+01
1.785786e+00   1.056709e+01   1.056709e+01   1.071471e+01   1.071471e+01
1.793794e+00   1.065309e+01   1.065309e+01   1.076276e+01   1.076276e+01
1.801802e+00   1.073947e+01   1.073947e+01   1.081081e+01   1.081081e+01
1.809810e+00   1.082623e+01   1.082623e+01   1.085886e+01   1.085886e+01
1.817818e+00   1.091338e+01   1.091338e+01   1.090691e+01   1.090691e+01
1.825826e+00   1.100092e+01   1.100092e+01   1.095495e+01   1.095495e+01
1.833834e+00   1.108884e+01   1.108884e+01   1.100300e+01   1.100300e+01
1.841842e+00   1.117714e+01   1.117714e+01   1.105105e+01   1.105105e+01
1.849850e+00   1.126583e+01   1.126583e+01   1.109910e+01   1.109910e+01
1.857858e+00   1.135491e+01   1.135491e+01   1.114715e+01   1.114715e+01
1.865866e+00   1.144437e+01   1.144437e+01   1.119520e+01   1.119520e+01
1.873874e+00   1.153421e+01   1.153421e+01   1.124324e+01   1.124324e+01
1.881882e+00   1.162444e+01   1.162444e+01   1.129129e+01   1.129129e+01
1.889890e+00   1.171505e+01   1.171505e+01   1.133934e+01   1.133934e+01
1.897898e+00   1.180605e+01   1.180605e+01   1.138739e+01   1.138739e+01
1.905906e+00   1.189743e+01   1.189743e+01   1.143544e+01   1.143544e+01
1.913914e+00   1.198920e+01   1.198920e+01   1.148348e+01   1.148348e+01
1.921922e+00   1.208135e+01   1.208135e+01   1.153153e+01   1.153153e+01
